Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic
Function,"CopyToSpare",,,,,,,,,,,,,,,,,,,1,7,0,7,2,3,0,0,0,2,5,5,1,0,4,2,,1,,0.00,
Function,"CopyWNotice",,,,,,,,,,,,,,,,,,,2,14,0,14,7,10,0,0,0,6,12,17,7,0,10,1,,0,,0.00,
Function,"CopyWText",,,,,,,,,,,,,,,,,,,3,5,0,5,1,3,0,0,0,2,3,3,0,0,3,1,,0,,0.00,
Function,"CursInst",,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,,0,,0.00,
Function,"CycPaint",,,,,,,,,,,,,,,,,,,5,8,0,8,2,1,0,0,0,1,4,2,1,0,1,2,,1,,0.00,
Static Function,"CycleColors",,,,,,,,,,,,,,,,,,,2,20,0,20,2,9,0,0,0,2,17,17,3,0,14,7,,4,,0.00,
File,"DALLOC.C",0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,,39,5,19,1,0,12,0,3,,13,1,1,0,0,,0,0,,0.63,0
File,"DISPNUM.C",10,0,9,2,2,0.00,0.00,0,0,,,,5,,,,,,,145,25,81,86,18,33,0,6,,68,54,38,0,16,,2,1,,0.41,10
File,"DISTANCE.C",0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,,21,2,9,0,0,8,0,1,,10,0,0,0,0,,0,0,,0.89,0
File,"DOPALETT.C",14,0,14,0,3,0.00,0.00,0,0,,,,3,,,,,,,67,6,48,24,27,11,0,2,,46,61,26,4,31,,6,2,,0.23,10
